threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.75,ASIANPAINT,Buy,2024-05-06 11:35:00,2940.9,-0.26114088041781924,45.0,2024-05-06 11:35:00,2940.9,-0.2611408804178192,45.0,-5.551115123125783e-17,0.0,False,False,False,1.983863205360194,1.4878974040201454,4342
0.75,ASIANPAINT,Buy,2024-05-07 10:20:00,2948.95,-0.08639674741657401,60.0,2024-05-07 10:20:00,2948.95,-0.086396747416574,60.0,-1.3877787807814457e-17,0.0,False,False,False,4.128497309240174,3.0963729819301307,4345
0.75,ASIANPAINT,Buy,2024-05-10 14:30:00,2775.0,-0.034222518417111915,40.0,2024-05-10 14:35:00,2774.0,-0.0702462220140787,45.0,0.03602370359696678,-5.0,False,False,False,-1.1968784792265978,-0.8976588594199484,4352
0.75,ASIANPAINT,Buy,2024-05-13 12:20:00,2869.95,3.15027135822879,150.0,2024-05-13 12:20:00,2869.95,3.1502713582287902,150.0,-4.440892098500626e-16,0.0,True,True,False,24.92747642518998,18.695607318892485,4353
0.75,ASIANPAINT,Buy,2024-05-13 14:50:00,2882.1,-0.062415479038807925,15.0,2024-05-13 14:50:00,2882.1,-0.0624154790388079,15.0,-2.7755575615628914e-17,0.0,False,False,False,24.1899871343262,18.142490350744648,4354
0.75,ASIANPAINT,Buy,2024-05-16 15:15:00,2810.9,-0.07287722853231403,10.0,2024-05-16 15:15:00,2810.9,-0.072877228532314,10.0,-2.7755575615628914e-17,0.0,False,False,False,-1.6318981301778877,-1.2239235976334157,4361
0.75,ASIANPAINT,Buy,2024-05-17 09:15:00,2788.05,0.0,0.0,2024-05-17 09:20:00,2792.1,0.1452628180986613,5.0,-0.1452628180986613,-5.0,True,False,True,-2.42862181731698,-1.821466362987735,4362
0.75,ASIANPAINT,Buy,2024-05-17 14:35:00,2821.05,0.01950008863677298,90.0,2024-05-17 14:35:00,2821.05,0.0195000886367729,90.0,7.979727989493313e-17,0.0,True,True,False,5.583304453802157,4.187478340351618,4363
0.75,ASIANPAINT,Buy,2024-05-18 09:50:00,2818.05,-0.24425211065681293,25.0,2024-05-18 09:50:00,2818.05,-0.2442521106568129,25.0,-2.7755575615628914e-17,0.0,False,False,False,4.791907390526831,3.593930542895123,4364
0.75,ASIANPAINT,Buy,2024-05-18 11:35:00,2814.2,-0.07988780202027375,100.0,2024-05-18 11:35:00,2814.2,-0.0798878020202737,100.0,-5.551115123125783e-17,0.0,False,False,False,4.28011409192095,3.2100855689407126,4365
0.75,ASIANPAINT,Buy,2024-05-21 10:35:00,2843.8,0.13732877918236877,65.0,2024-05-21 10:35:00,2843.8,0.1373287791823687,65.0,8.326672684688674e-17,0.0,True,True,False,8.914270525891425,6.685702894418569,4366
0.75,ASIANPAINT,Buy,2024-05-22 11:50:00,2881.6,0.7816735157821075,105.0,2024-05-22 11:50:00,2881.6,0.7816735157821075,105.0,0.0,0.0,True,True,False,10.42870191232987,7.821526434247403,4367
0.75,ASIANPAINT,Buy,2024-05-22 13:20:00,2882.9,-0.1108762690135414,10.0,2024-05-22 13:20:00,2882.9,-0.1108762690135413,10.0,-9.71445146547012e-17,0.0,False,False,False,9.578693882035624,7.184020411526719,4368
0.75,ASIANPAINT,Buy,2024-05-23 09:50:00,2898.55,-0.4379486827190602,30.0,2024-05-23 09:50:00,2898.55,-0.4379486827190602,30.0,0.0,0.0,False,False,False,9.860055831856243,7.395041873892183,4369
