threshold,total_trades,num_wins,num_losses,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,total_return_pct,sharpe_ratio,avg_duration_minutes,losers_to_winners_count,winners_to_losers_count,net_outcome_improvement,window_id,window_start,window_end,window_num_trades,trade_type
0.8,746,380,319,50.93833780160858,2.1671579734226234,0.4778085747442317,0.26263722608582335,97.78598328143042,3.8327096892669235,47.25201072386059,18,8,10,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
0.9,746,390,309,52.27882037533512,2.3563180027115442,0.47261430130331095,0.2531506725303713,106.09601969640656,4.208457977682876,46.85656836461126,28,8,20,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
0.95,746,401,298,53.75335120643432,2.5623713336361993,0.47145144805315325,0.24758425102292075,115.27192386448408,4.6034144475592536,46.3739946380697,43,12,31,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
0.5,793,363,367,45.775535939470366,1.737633136967241,0.4144281091687269,0.23590202835553267,63.86135922176737,2.8471549207452647,43.94073139974779,17,8,9,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.6,793,364,366,45.90163934426229,1.7444997598352459,0.4133806716986253,0.235667421910762,64.2162880789607,2.8644539800838373,43.915510718789406,18,8,10,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.7,793,366,364,46.15384615384615,1.7624779500906662,0.41121745250795444,0.23459975146862158,65.11127808333303,2.9089904197120644,43.833543505674655,20,8,12,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.8,793,371,359,46.7843631778058,1.8024024805693681,0.40687574752451316,0.23328643607398453,67.20107178103393,3.008440052866518,43.68852459016394,25,8,17,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.9,793,385,348,48.54981084489281,1.9721123800210099,0.3999436546054537,0.22436165604667618,75.90045071885639,3.4354080598487853,43.28499369482976,39,8,31,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.95,793,395,340,49.810844892812106,2.175243845360944,0.40211416293166047,0.21476306816163482,85.81565118305005,3.903809394463264,42.78688524590164,54,13,41,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Sell
0.5,759,363,351,47.82608695652174,2.14645993787442,0.4616111275243842,0.22240932435315502,89.49916644339405,3.3868247148519544,55.974967061923586,13,5,8,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.6,759,366,348,48.22134387351779,2.1637313507686615,0.4580141967612612,0.22262679980016375,90.15906968416462,3.4142047405544336,55.93544137022398,16,5,11,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.7,759,366,348,48.22134387351779,2.1784563952794223,0.4577466386539358,0.22099280480084574,90.62977367664618,3.4359911929597122,55.869565217391305,16,5,11,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.8,759,371,343,48.88010540184453,2.2609201472009173,0.4527270658895983,0.21658632128031285,93.6726332458937,3.564717852233111,55.71146245059288,21,5,16,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.9,759,382,333,50.329380764163375,2.469600712536069,0.44601638387706605,0.20717779183827897,101.38805395889233,3.8946801173155516,55.3227931488801,34,7,27,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.95,759,388,327,51.11989459815547,2.7257460069548696,0.45059870632608734,0.19615009775976358,110.69121608707921,4.267593072504224,54.776021080368906,45,12,33,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Sell
0.5,576,287,268,49.82638888888889,2.2269327419769254,0.5069149249253433,0.24376709412980302,80.15500222678634,3.4876880753167097,59.314236111111114,6,3,3,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.6,576,289,266,50.173611111111114,2.2354045105681,0.5035286481203874,0.24472834196804397,80.42204034329228,3.500122487926812,59.28819444444444,8,3,5,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.7,576,289,266,50.173611111111114,2.2583144988276227,0.5040109650026344,0.24247768003839248,81.16010599554896,3.537803487488708,59.21875,8,3,5,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.8,576,292,263,50.69444444444444,2.32988619561613,0.499853226216204,0.23819623590493424,83.31153201213387,3.644462130843638,59.114583333333336,11,3,8,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.9,576,296,258,51.388888888888886,2.457927646281394,0.4963937596969751,0.23170170193526934,87.15351377100512,3.8375120679214194,58.767361111111114,17,5,12,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.95,576,305,249,52.951388888888886,2.675618808682102,0.49253900866954164,0.22548459891028216,94.07873251554994,4.167976092766567,58.229166666666664,28,7,21,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Sell
0.5,556,290,237,52.15827338129496,2.2787976163348937,0.37964660829726665,0.2038559630730907,61.783653157884835,3.857024650817229,47.96762589928058,6,9,-3,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
0.6,556,292,235,52.51798561151079,2.2926684619840336,0.3772845176310551,0.20447617667157347,62.11517763044832,3.879504166572636,47.94964028776978,8,9,-1,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
0.7,556,292,235,52.51798561151079,2.3660852783419934,0.378364359741669,0.19869860441897652,63.788221006107875,4.007980582994208,47.85071942446043,8,9,-1,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
0.8,556,296,231,53.23741007194245,2.392248598335711,0.3746280161475384,0.2006659450944978,64.53605946284236,4.061799648382317,47.760791366906474,12,9,3,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
0.9,556,298,228,53.597122302158276,2.465956292440825,0.3729100283030382,0.197651495595178,66.06264743860481,4.180611545664549,47.48201438848921,15,10,5,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
0.95,556,305,222,54.85611510791367,2.5618780142539914,0.3664597806590938,0.1965236110665041,68.1419914442597,4.351071236843082,47.05035971223022,23,11,12,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Sell
