trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
INFY_0073,INFY,2025-07-24T11:15:00+05:30,2025-07-25T15:15:00+05:30,SHORT,1557.2,1518.5,10,237.0,phase4_full_backtest
TCS_0073,TCS,2025-07-24T13:00:00+05:30,2025-07-25T12:45:00+05:30,LONG,3142.9,3145.1,10,-128.0,phase4_full_backtest
RELIANCE_0074,RELIANCE,2025-07-24T15:00:00+05:30,2025-07-25T15:15:00+05:30,SHORT,1402.9,1392.4,10,-45.0,phase4_full_backtest
TCS_0074,TCS,2025-07-25T09:45:00+05:30,2025-07-28T09:45:00+05:30,LONG,3143.3,3091.2,10,-671.0,phase4_full_backtest
BANKNIFTY_0074,BANKNIFTY,2025-07-25T10:45:00+05:30,2025-07-25T14:45:00+05:30,SHORT,56723.45,56518.8,10,1896.5,phase4_full_backtest
NIFTY_0074,NIFTY,2025-07-25T11:30:00+05:30,2025-07-28T11:30:00+05:30,LONG,24865.45,24799.1,10,-813.5,phase4_full_backtest
INFY_0074,INFY,2025-07-25T13:30:00+05:30,2025-07-28T13:30:00+05:30,LONG,1518.8,1507.2,10,-266.0,phase4_full_backtest
NIFTY_0075,NIFTY,2025-07-28T09:30:00+05:30,2025-07-29T13:30:00+05:30,SHORT,24785.05,24758.85,10,112.0,phase4_full_backtest
BANKNIFTY_0075,BANKNIFTY,2025-07-28T09:45:00+05:30,2025-07-30T13:15:00+05:30,LONG,56358.85,56196.55,10,-1773.0,phase4_full_backtest
TCS_0075,TCS,2025-07-28T10:45:00+05:30,2025-07-31T10:45:00+05:30,LONG,3109.0,3020.0,10,-1040.0,phase4_full_backtest
RELIANCE_0075,RELIANCE,2025-07-28T11:00:00+05:30,2025-07-29T10:00:00+05:30,LONG,1400.9,1395.8,10,-201.0,phase4_full_backtest
INFY_0075,INFY,2025-07-28T12:45:00+05:30,2025-07-30T12:30:00+05:30,SHORT,1508.5,1514.9,10,-214.0,phase4_full_backtest
BANKNIFTY_0076,BANKNIFTY,2025-07-29T11:15:00+05:30,2025-08-01T11:15:00+05:30,SHORT,56038.6,55863.2,10,1604.0,phase4_full_backtest
INFY_0076,INFY,2025-07-29T11:45:00+05:30,2025-07-31T09:30:00+05:30,LONG,1503.7,1501.3,10,-174.0,phase4_full_backtest
RELIANCE_0076,RELIANCE,2025-07-29T13:15:00+05:30,2025-08-01T13:15:00+05:30,SHORT,1394.7,1403.9,10,-242.0,phase4_full_backtest
NIFTY_0076,NIFTY,2025-07-29T13:30:00+05:30,2025-08-01T13:30:00+05:30,SHORT,24758.85,24668.6,10,752.5,phase4_full_backtest
TCS_0076,TCS,2025-07-29T14:15:00+05:30,2025-08-01T14:15:00+05:30,SHORT,3057.5,3010.1,10,324.0,phase4_full_backtest
NIFTY_0077,NIFTY,2025-07-30T10:00:00+05:30,2025-07-30T14:15:00+05:30,LONG,24843.05,24877.0,10,189.5,phase4_full_backtest
INFY_0077,INFY,2025-07-30T10:15:00+05:30,2025-08-01T15:15:00+05:30,SHORT,1510.0,1468.3,10,267.0,phase4_full_backtest
TCS_0077,TCS,2025-07-30T10:30:00+05:30,2025-08-01T15:15:00+05:30,SHORT,3054.0,3001.1,10,379.0,phase4_full_backtest
BANKNIFTY_0077,BANKNIFTY,2025-07-30T11:45:00+05:30,2025-07-31T10:30:00+05:30,SHORT,56283.4,55632.6,10,6358.0,phase4_full_backtest
RELIANCE_0077,RELIANCE,2025-07-30T14:30:00+05:30,2025-08-01T15:15:00+05:30,SHORT,1411.0,1394.1,10,19.0,phase4_full_backtest
INFY_0078,INFY,2025-07-31T10:45:00+05:30,2025-08-01T15:15:00+05:30,SHORT,1502.4,1468.3,10,191.0,phase4_full_backtest
RELIANCE_0078,RELIANCE,2025-07-31T12:15:00+05:30,2025-08-01T10:15:00+05:30,LONG,1395.1,1402.0,10,-81.0,phase4_full_backtest
