Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Sell,2025-05-06 09:20:00+05:30,54799.0,54800.5,54417.35,2025-05-06 09:30:00+05:30,2025-05-06 11:35:00+05:30,2025-05-06 11:50:00+05:30,54447.4,351.59999999999854,0.6416175477654675,150.0,0.0,0.7,0.0,234.4,140.0,BANKNIFTY,True,False
Sell,2025-05-06 09:20:00+05:30,1417.0,1423.5,1411.1,2025-05-06 09:35:00+05:30,2025-05-06 11:25:00+05:30,2025-05-06 11:35:00+05:30,1411.5,5.5,0.3881439661256175,135.0,0.0,0.42,0.46,0.85,120.0,RELIANCE,True,False
Sell,2025-05-06 09:25:00+05:30,3439.5,3449.9,3439.5,2025-05-06 09:40:00+05:30,2025-05-06 09:25:00+05:30,2025-05-06 10:05:00+05:30,3449.0,-9.5,-0.2762029364733246,40.0,0.0,0.0,0.3,-0.91,25.0,TCS,True,False
Sell,2025-05-06 09:50:00+05:30,24404.5,24404.5,24369.95,2025-05-06 09:50:00+05:30,2025-05-06 10:20:00+05:30,2025-05-06 11:05:00+05:30,24393.0,11.5,0.0471224569239279,75.0,0.0,0.14,0.0,,75.0,NIFTY,True,False
Sell,2025-05-06 10:10:00+05:30,1507.4,1509.9,1507.4,2025-05-06 10:15:00+05:30,2025-05-06 10:10:00+05:30,2025-05-06 10:20:00+05:30,1509.9,-2.5,-0.1658484808279156,10.0,0.0,0.0,0.17,-1.0,5.0,INFY,True,False
Buy,2025-05-06 11:05:00+05:30,1510.7,1513.9,1509.9,2025-05-06 11:35:00+05:30,2025-05-06 11:15:00+05:30,2025-05-06 12:20:00+05:30,1510.4,-0.2999999999999545,-0.0198583438141228,75.0,0.0,0.21,0.05,-0.37,65.0,INFY,True,False
Sell,2025-05-06 11:40:00+05:30,24361.15,24389.0,24361.15,2025-05-06 12:05:00+05:30,2025-05-06 11:40:00+05:30,2025-05-06 12:05:00+05:30,24389.0,-27.849999999998545,-0.114321368244104,25.0,0.0,0.0,0.11,-1.0,0.0,NIFTY,True,False
Sell,2025-05-06 11:40:00+05:30,1414.4,1417.8,1414.4,2025-05-06 11:50:00+05:30,2025-05-06 11:40:00+05:30,2025-05-06 11:50:00+05:30,1417.8,-3.399999999999864,-0.2403846153846057,10.0,0.0,0.0,0.24,-1.0,0.0,RELIANCE,True,False
Buy,2025-05-06 12:50:00+05:30,3460.0,3469.8,3459.1,2025-05-06 13:30:00+05:30,2025-05-06 13:10:00+05:30,2025-05-06 14:20:00+05:30,3462.0,2.0,0.0578034682080924,90.0,0.0,0.28,0.03,2.22,70.0,TCS,True,False
Sell,2025-05-06 14:50:00+05:30,1510.0,1512.1,1508.9,2025-05-06 15:00:00+05:30,2025-05-06 14:55:00+05:30,2025-05-06 15:05:00+05:30,1511.8,-1.7999999999999543,-0.119205298013242,15.0,0.0,0.07,0.14,-0.86,5.0,INFY,True,False
Sell,2025-05-06 14:50:00+05:30,54308.15,54313.45,54224.85,2025-05-06 15:05:00+05:30,2025-05-06 15:15:00+05:30,2025-05-06 15:15:00+05:30,54224.85,83.30000000000291,0.1533839764381642,25.0,0.0,0.15,0.01,15.72,10.0,BANKNIFTY,True,False
Sell,2025-05-07 09:15:00+05:30,24365.9,24365.9,24359.95,2025-05-07 09:15:00+05:30,2025-05-07 09:20:00+05:30,2025-05-07 09:20:00+05:30,24359.95,5.950000000000728,0.0244193729761704,5.0,0.0,0.02,0.0,,5.0,NIFTY,True,False
Sell,2025-05-07 09:15:00+05:30,54517.0,54517.0,54512.85,2025-05-07 09:15:00+05:30,2025-05-07 09:20:00+05:30,2025-05-07 09:20:00+05:30,54512.85,4.150000000001455,0.0076123044188078,5.0,0.0,0.01,0.0,,5.0,BANKNIFTY,True,False
Sell,2025-05-07 09:20:00+05:30,1504.0,1508.8,1502.2,2025-05-07 09:30:00+05:30,2025-05-07 10:05:00+05:30,2025-05-07 10:20:00+05:30,1507.4,-3.400000000000091,-0.2260638297872401,60.0,0.0,0.12,0.32,-0.71,50.0,INFY,True,False
Sell,2025-05-07 09:20:00+05:30,3437.9,3447.1,3428.2,2025-05-07 09:30:00+05:30,2025-05-07 10:35:00+05:30,2025-05-07 11:05:00+05:30,3430.2,7.700000000000273,0.2239739375781806,105.0,0.0,0.28,0.27,0.84,95.0,TCS,True,False
Sell,2025-05-07 10:05:00+05:30,24304.95,24372.85,24291.3,2025-05-07 10:30:00+05:30,2025-05-07 10:15:00+05:30,2025-05-07 10:35:00+05:30,24362.2,-57.25,-0.2355487256711081,30.0,0.0,0.06,0.28,-0.84,5.0,NIFTY,True,False
Sell,2025-05-07 10:05:00+05:30,1412.5,1417.7,1411.6,2025-05-07 10:30:00+05:30,2025-05-07 10:10:00+05:30,2025-05-07 10:35:00+05:30,1417.2,-4.7000000000000455,-0.3327433628318616,30.0,0.0,0.06,0.37,-0.9,5.0,RELIANCE,True,False
Sell,2025-05-07 10:50:00+05:30,54277.4,54362.4,54271.3,2025-05-07 11:00:00+05:30,2025-05-07 10:55:00+05:30,2025-05-07 11:05:00+05:30,54319.25,-41.84999999999855,-0.0771039143363509,15.0,0.0,0.01,0.16,-0.49,5.0,BANKNIFTY,True,False
Buy,2025-05-07 12:20:00+05:30,1509.6,1518.8,1509.6,2025-05-07 14:10:00+05:30,2025-05-07 12:20:00+05:30,2025-05-07 14:35:00+05:30,1513.8,4.2000000000000455,0.2782193958664577,135.0,0.0,0.61,0.0,,135.0,INFY,True,False
Buy,2025-05-07 12:35:00+05:30,24384.9,24392.6,24356.65,2025-05-07 12:45:00+05:30,2025-05-07 13:05:00+05:30,2025-05-07 13:05:00+05:30,24356.65,-28.25,-0.1158503828188756,30.0,0.0,0.03,0.12,-1.0,0.0,NIFTY,True,False
Sell,2025-05-07 13:35:00+05:30,1414.7,1415.1,1412.7,2025-05-07 14:05:00+05:30,2025-05-07 13:55:00+05:30,2025-05-07 14:05:00+05:30,1415.1,-0.3999999999998636,-0.0282745458400978,30.0,0.0,0.14,0.03,-1.0,0.0,RELIANCE,True,False
Buy,2025-05-07 14:05:00+05:30,3451.8,3457.5,3445.7,2025-05-07 14:10:00+05:30,2025-05-07 14:20:00+05:30,2025-05-07 14:50:00+05:30,3448.7,-3.100000000000364,-0.0898082160032552,45.0,0.0,0.17,0.18,-0.51,30.0,TCS,True,False
Sell,2025-05-07 14:10:00+05:30,1416.1,1416.1,1403.5,2025-05-07 14:10:00+05:30,2025-05-07 15:15:00+05:30,2025-05-07 15:15:00+05:30,1403.5,12.599999999999907,0.8897676717745858,65.0,0.0,0.89,0.0,,65.0,RELIANCE,True,False
Buy,2025-05-07 14:10:00+05:30,24406.9,24419.1,24373.95,2025-05-07 15:00:00+05:30,2025-05-07 14:20:00+05:30,2025-05-07 15:15:00+05:30,24411.0,4.099999999998545,0.0167985282850281,65.0,0.0,0.05,0.14,0.12,55.0,NIFTY,True,False
Buy,2025-05-07 14:35:00+05:30,54451.05,54622.85,54440.55,2025-05-07 15:15:00+05:30,2025-05-07 14:50:00+05:30,2025-05-07 15:15:00+05:30,54622.85,171.79999999999563,0.3155127403420055,40.0,0.0,0.32,0.02,16.36,25.0,BANKNIFTY,True,False
Buy,2025-05-08 09:15:00+05:30,24398.05,24409.95,24398.05,2025-05-08 09:20:00+05:30,2025-05-08 09:15:00+05:30,2025-05-08 09:20:00+05:30,24409.95,11.900000000001455,0.0487743897565643,5.0,0.0,0.05,0.0,,5.0,NIFTY,True,False
Sell,2025-05-08 09:15:00+05:30,1399.1,1409.8,1399.1,2025-05-08 09:50:00+05:30,2025-05-08 09:15:00+05:30,2025-05-08 09:50:00+05:30,1409.8,-10.700000000000044,-0.7647773568722783,35.0,0.0,0.0,0.76,-1.0,0.0,RELIANCE,True,False
Buy,2025-05-08 09:15:00+05:30,54716.95,54847.3,54652.15,2025-05-08 10:25:00+05:30,2025-05-08 09:30:00+05:30,2025-05-08 10:50:00+05:30,54816.45,99.5,0.1818449310497021,95.0,0.0,0.24,0.12,1.54,80.0,BANKNIFTY,True,False
Sell,2025-05-08 09:20:00+05:30,1511.1,1511.1,1501.7,2025-05-08 09:20:00+05:30,2025-05-08 10:35:00+05:30,2025-05-08 10:50:00+05:30,1507.0,4.099999999999909,0.2713255244523797,90.0,0.0,0.62,0.0,,90.0,INFY,True,False
Buy,2025-05-08 09:20:00+05:30,3463.0,3470.7,3460.0,2025-05-08 09:30:00+05:30,2025-05-08 09:25:00+05:30,2025-05-08 10:05:00+05:30,3461.1,-1.900000000000091,-0.0548657233612501,45.0,0.0,0.22,0.09,-0.63,40.0,TCS,True,False
Buy,2025-05-08 10:10:00+05:30,3457.8,3457.8,3455.9,2025-05-08 10:10:00+05:30,2025-05-08 10:15:00+05:30,2025-05-08 10:20:00+05:30,3456.9,-0.900000000000091,-0.0260281103591905,10.0,0.0,0.0,0.05,-0.47,5.0,TCS,True,False
Buy,2025-05-08 10:30:00+05:30,24408.1,24408.1,24392.5,2025-05-08 10:30:00+05:30,2025-05-08 10:35:00+05:30,2025-05-08 10:50:00+05:30,24404.05,-4.049999999999272,-0.0165928523727749,20.0,0.0,0.0,0.06,-0.26,15.0,NIFTY,True,False
